"spelling","lexicality","rt","subtlex.frequency","length","POS","bigram.freq"
"haalt","W",608.1891892,2476,5,"WW",117814
"haaltje","W",618.2,9,7,"N",167819
"haaltjes","W",552.5,1,8,"N",160114
"haan","W",554.974359,187,4,"N",173437
"haantje","W",654.6578947,30,7,"N",200376
"haantjes","W",666.6388889,7,8,"N",192671
"haarband","W",657.0263158,9,8,"N",212882
"haard","W",603.9736842,281,5,"N",137262
"haarden","W",702.7,11,7,"N",401694
"haardos","W",739.15625,10,7,"N",155894
"haardvuur","W",615.1578947,37,9,"N",148291
"haarfijn","W",726.8181818,9,8,"ADJ",199690
"haarlok","W",669.8333333,23,7,"N",116692
"haarscherp","W",690,2,10,"ADJ",315467
"haartje","W",609.8421053,40,7,"N",184323
"haartjes","W",620.3243243,24,8,"N",176618
"haas","W",633.5263158,95,4,"N",104777
"haasten","W",594,305,7,"WW",420278
"haastig","W",604.1842105,94,7,"ADJ",190611
"haastte","W",633.5405405,30,7,"WW",273905
"haastten","W",708.5,3,8,"WW",428213
"haat","W",575.3513514,6617,4,"WW",113944
"haatte","W",640.7297297,666,6,"WW",225372
"haatten","W",715.4482759,60,7,"WW",379680
"had","W",543.8333333,92103,3,"WW",61299
"hadden","W",600.5526316,17075,6,"WW",329389
"hagel","W",584.7631579,59,5,"N",152702
"hak","W",620.1081081,358,3,"WW",41779
"haken","W",676.7777778,132,5,"WW",283099
"hakken","W",578.8108108,543,6,"WW",290478
"hakmes","W",692.3235294,28,6,"N",115339
"hakte","W",650.0909091,68,5,"WW",180193
"hakten","W",709.6315789,25,6,"WW",334501
"hal","W",609.0555556,891,3,"N",50059
"halen","W",581.7948718,16075,5,"WW",293940
"half","W",574.5,4581,4,"ADJ",48250
"halfbroer","W",612.027027,54,9,"N",243762
"halfbroers","W",656.3636364,10,10,"N",272936
"halfjaar","W",582.2571429,155,8,"N",131210
"halfrond","W",609.5142857,49,8,"N",175989
"halfuur","W",591.6578947,245,7,"N",81278
"halfvol","W",589.0512821,31,7,"ADJ",75103
"hallen","W",677.2,21,6,"N",301995
"halm","W",647.0434783,3,4,"N",47130
"halmen","W",725.8125,1,6,"N",285454
"halmpjes","W",696.2,1,8,"N",118789
"halo's","W",800.7,1,6,"N",91146
"hals","W",565.3714286,328,4,"N",80633
"halsband","W",605.4722222,190,8,"N",172880
"halssnoer","W",660.5142857,30,9,"N",235471
"halster","W",704.6428571,4,7,"N",321109
"halsters","W",737.7142857,1,8,"N",350283
"halt","W",590.8857143,765,4,"N",80882
"halte","W",554.5263158,219,5,"N",184375
"haltes","W",605.3888889,24,6,"N",176670
"halve","W",579.8918919,1859,5,"ADJ",142250
"halzen","W",725.5555556,2,6,"N",274846
"ham","W",561.6486486,458,3,"N",38604
"hamer","W",615.9210526,374,5,"N",201903
"hamers","W",600.6176471,37,6,"N",231077
"hammen","W",689.2666667,11,6,"N",281337
"hamster","W",589.1538462,83,7,"N",309880
"hamsters","W",594.6842105,32,8,"N",339054
"hand","W",532.2105263,8742,4,"N",137717
"handbal","W",630,17,7,"N",144765
"handboek","W",590.9473684,159,8,"N",167761
"handdoek","W",558.0526316,459,8,"N",169581
"handdruk","W",558.3157895,110,8,"N",140145
"handel","W",534.7179487,1139,6,"N",241172
"handels","W",656.3,9,7,"N",271746
"handelt","W",626.0512821,265,7,"WW",271995
"handen","W",562.1315789,9393,6,"N",402149
"handhaaft","W",894.9473684,18,9,"WW",209933
"handig","W",533.9230769,604,6,"ADJ",157690
"handje","W",575.2432432,215,6,"N",187736
"handjes","W",613.0789474,217,7,"N",180031
"handkar","W",766.9,5,7,"N",166630
"handpalm","W",593.5128205,37,8,"N",140587
"handschoen","W",604.1315789,292,10,"N",436085
"handschrift","W",632.1282051,299,11,"N",249163
"handtas","W",592.8157895,189,7,"N",166946
"handvat","W",577.1578947,88,7,"N",168871
"handvol","W",588.4358974,97,7,"N",141740
"handwerk","W",567.3157895,41,8,"N",261503
"hanen","W",662.2647059,33,5,"N",300457
"hang","W",594.3783784,1236,4,"WW",102918
"hangar","W",702.4242424,93,6,"N",142700
"hangars","W",676.2962963,8,7,"N",171874
"hangen","W",576.8205128,2422,6,"WW",368806
"hangend","W",599.1944444,39,7,"WW",370018
"hanger","W",644.7941176,79,6,"N",293781
"hangers","W",689.6470588,14,7,"N",322955
"hangkast","W",693.3461538,1,8,"N",198192
"hangmat","W",637.1315789,32,7,"N",153261
"hangslot","W",678.8055556,22,8,"N",164466
"hangt","W",568.025641,2938,5,"WW",124394
"hanteert","W",701.2105263,41,8,"WW",356022
"hap","W",596.5294118,401,3,"N",36444
"hapje","W",582.4166667,401,5,"N",110708
"hapjes","W",575.5,131,6,"N",103003
"happen","W",623.7096774,87,6,"WW",278333
"hapte","W",606.7222222,27,5,"WW",174108
"hard","W",576.8421053,6973,4,"ADJ",100330
"harde","W",646.7058824,1447,5,"ADJ",210454
"harden","W",696.3333333,41,6,"WW",364762
"harder","W",549.4210526,1671,6,"ADJ",289737
"hardheid","W",669.4871795,14,8,"N",145737
"hardst","W",642.75,9,6,"ADJ",169503
"hardste","W",688.0526316,58,7,"ADJ",272996
"hardware","W",752.1818182,49,8,"N",219684
"harem","W",663.1,64,5,"N",109702
"harems","W",702.4375,6,6,"N",140502
"haren","W",649.1142857,540,5,"N",316366
"harer","W",NA,1,5,"ADJ",241341
"harig","W",619.5151515,83,5,"ADJ",113025
"haring","W",617.8378378,57,6,"N",163427
"hark","W",670.59375,66,4,"N",63697
"harken","W",699.0689655,32,6,"WW",305017
"harnas","W",618.5526316,214,6,"N",104944
"harp","W",615.1666667,82,4,"N",56536
"harpen","W",663.48,6,6,"N",293164
"harpoen","W",666.1290323,39,7,"N",305312
"hars","W",660.8181818,29,4,"N",102527
"harsen","W",673.4347826,12,6,"WW",308751
"hart","W",593.1666667,8587,4,"N",97386
"harten","W",607.3235294,460,6,"N",355187
"hartje","W",565.8461538,169,6,"N",147391
"hartjes","W",654.3157895,28,7,"N",139686
"hartslag","W",590.9230769,489,8,"N",126024
"hartstocht","W",663.2564103,135,10,"N",235914
"hartstreek","W",743.4583333,3,10,"N",250403
"hasj","W",766.5652174,160,4,"N",37743
"haten","W",608.1666667,1142,5,"WW",334813
"hautain","W",751.4736842,8,7,"ADJ",168877
"haven","W",600.5128205,747,5,"N",280444
"havens","W",655.8918919,81,6,"N",251760
"haver","W",595.3823529,39,5,"N",205419
"havik","W",631.2058824,103,5,"N",45141
"hazen","W",602.2352941,19,5,"N",258532
"heb","W",612.8235294,314634,3,"WW",34686
"hebben","W",555.0540541,150152,6,"WW",279767
"hebbend","W",656.1290323,9,7,"WW",280979
"hebt","W",619.7941176,97632,4,"WW",69371
"hebzucht","W",633.3611111,265,8,"N",127390
"hecht","W",661.7428571,311,5,"WW",125405
"hechte","W",719.6296296,135,6,"ADJ",228898
"hechten","W",642.6052632,144,7,"WW",383206
"hechter","W",750.3823529,19,7,"ADJ",308181
"hechting","W",628.1794872,27,8,"N",203941
"hechtte","W",644.6052632,23,7,"WW",236833
"heden","W",644,466,5,"N",338340
"heeft","W",532.9230769,159926,5,"WW",108818
"heel","W",594,45425,4,"ADJ",126355
"heelal","W",620.8378378,483,6,"N",164707
"heelhuids","W",702.5833333,136,9,"ADJ",196260
"heengaan","W",672.2647059,270,8,"WW",393611
"heenweg","W",747,19,7,"N",255290
"heer","W",544.1052632,4554,4,"N",212307
"heerlijk","W",566.5897436,3229,8,"ADJ",260721
"heerschap","W",698.9642857,35,9,"ADJ",294217
"heersen","W",621.75,282,7,"WW",447705
"heerser","W",612.0833333,186,7,"N",372680
"heersers","W",634.25,44,8,"N",401854
"heerst","W",631.5675676,346,6,"WW",299181
"heerste","W",658.5142857,74,7,"WW",402674
"heersten","W",685.5,25,8,"WW",556982
"heertje","W",657.2272727,15,7,"N",286345
"heertjes","W",747.5555556,2,8,"N",278640
"hees","W",661.46875,14,4,"ADJ",125319
"heesters","W",739.4347826,8,8,"N",394969
"heet","W",559.9487179,14803,4,"WW",118381
"heette","W",568.4444444,1594,6,"WW",229809
"heetten","W",700,62,7,"WW",384117
"hefboom","W",634.6944444,21,7,"N",90153
"heffen","W",629.4722222,146,6,"WW",265716
"heffing","W",738.2692308,7,7,"N",128844
"heft","W",680.7333333,116,4,"WW",73044
"heften","W",695,1,6,"WW",330845
"heftig","W",587.8648649,377,6,"ADJ",101178
"heg","W",678,45,3,"N",58793
"heggen","W",721.0909091,16,6,"N",326903
"hei","W",639.8823529,56,3,"N",46370
"heibel","W",754.6428571,65,6,"ADJ",128682
"heide","W",710.1333333,42,5,"N",195873
"heiden","W",834.5652174,56,6,"N",350181
"heidens","W",764.0769231,29,7,"ADJ",321497
"heil","W",607.5277778,250,4,"N",62853
"heilbot","W",704.3030303,21,7,"N",107068
"heilig","W",579.5405405,534,6,"ADJ",116232
"heilzaam","W",671.6944444,16,8,"ADJ",110004
"heimwee","W",627.25,153,7,"N",167652
"hek","W",581.5945946,996,3,"N",54285
"hekel","W",553.2820513,1169,5,"N",134628
"hekjes","W",621.8571429,3,6,"N",118422
"hekken","W",636.2777778,114,6,"N",302984
"heks","W",583.1111111,1170,4,"N",84602
"heksen","W",598.2894737,295,6,"N",290826
"hel","W",541.2631579,3675,3,"N",90581
"held","W",559.3684211,2608,4,"N",122194
"helde","W",761.5555556,5,5,"WW",232318
"helden","W",608.2702703,655,6,"N",386626
"helder","W",582.1081081,883,6,"ADJ",311601
"heldin","W",616.8648649,86,6,"N",226156
"hele","W",609.5625,26582,4,"ADJ",180154
"helft","W",606.8648649,2872,5,"N",120447
"helften","W",723.4242424,28,7,"N",378248
"heling","W",688.9615385,20,6,"N",194362
"helle","W",692.1818182,4,5,"ADJ",188209
"hellend","W",672.9444444,1,7,"WW",343729
"helling","W",581.7105263,104,7,"N",202417
"helm","W",556.6923077,485,4,"N",87652
"helmen","W",641.5757576,64,6,"N",325976
"helmpje","W",684.9117647,4,7,"N",167016
"help","W",546.7027027,12242,4,"WW",87972
"helpen","W",541.8205128,25341,6,"WW",324600
"helper","W",646.3947368,58,6,"N",249575
"helpers","W",596.1388889,42,7,"N",278749
"helpt","W",594.6052632,4095,5,"WW",122143
"hels","W",646.6333333,49,4,"ADJ",121155
"helse","W",637.137931,100,5,"ADJ",173071
"hemd","W",557.2820513,524,4,"N",71644
"hemden","W",639.1538462,101,6,"N",336076
"hemel","W",561.9210526,5110,5,"N",122241
"hemels","W",585.3513514,209,6,"ADJ",152815
"hendel","W",615.7222222,161,6,"N",356225
"hendels","W",704.1764706,18,7,"N",386799
"hengel","W",611.3421053,85,6,"N",322882
"hengels","W",640.59375,14,7,"N",353456
"hengst","W",599.8055556,209,6,"N",305217
"hengsten","W",703.2,16,8,"N",563018
"hennen","W",761.5,9,6,"N",420770
"hennep","W",807.45,13,6,"N",212494
"herberg","W",578.1842105,160,7,"N",319986
"herbouwd","W",705.7567568,35,8,"WW",209525
"herder","W",618.7179487,259,6,"N",392917
"herders","W",649.6774194,54,7,"N",422091
"herdruk","W",744.5483871,2,7,"N",202280
"herdrukt","W",751.09375,2,8,"WW",237201
"heren","W",550.2368421,7343,5,"N",419546
"herfst","W",565.025641,397,6,"N",247327
"herhaal","W",567.5526316,1010,7,"WW",228947
"herhaald","W",588.9736842,89,8,"WW",260560
"herhaalt","W",589.1794872,126,8,"WW",259770
"herken","W",610.7,1222,6,"WW",408197
"herkend","W",655.3513514,395,7,"WW",409409
"herkent","W",626.0810811,700,7,"WW",385131
"herkomst","W",573.6315789,91,8,"N",273625
"herlas","W",796.4166667,3,6,"WW",220694
"hernam","W",744,2,6,"WW",178883
"hernieuwd","W",632.25,14,9,"WW",246022
"herrie","W",600.8857143,611,6,"N",286125
"hersens","W",569.5714286,1280,7,"N",383247
"herstel","W",590.5945946,308,7,"N",360231
"hersteld","W",590.2820513,427,8,"WW",391844
"herstelt","W",611.4054054,145,8,"WW",391054
"hert","W",618.2368421,268,4,"N",200566
"herten","W",653.03125,103,6,"N",458367
"hertog","W",643.1944444,429,6,"N",201631
"hertrouwd","W",716.2285714,60,9,"WW",247494
"herzien","W",616.4615385,128,7,"WW",417246
"hese","W",791,1,4,"ADJ",141461
"hesen","W",829.5,4,5,"WW",295769
"hete","W",624.2058824,793,4,"ADJ",186100
"heten","W",602,845,5,"WW",340408
"heter","W",713.7826087,101,5,"ADJ",265383
"heup","W",583.0540541,179,4,"N",44770
"heupen","W",618.3589744,294,6,"N",281398
"heus","W",645.1818182,2179,4,"ADJ",76624
"heuse","W",717.7083333,30,5,"ADJ",128540
"heuvel","W",547.3421053,687,6,"N",132068
"heuvels","W",521.8947368,415,7,"N",162642
"hevig","W",551.6486486,176,5,"ADJ",79260
"hief","W",689.7083333,20,4,"WW",63849
"hiel","W",639.3714286,37,4,"N",113061
"hield","W",609.7222222,6592,5,"WW",144674
"hielden","W",664.4358974,924,7,"WW",409106
"hielen","W",630,256,6,"N",356942
"hielp","W",621.8684211,1328,5,"WW",110452
"hielpen","W",642,182,7,"WW",347080
"hieltjes","W",728.8518519,1,8,"N",186184
"hieven","W",717,2,6,"WW",314785
"hijgde","W",646.5,8,6,"WW",188175
"hijgen","W",623.4242424,40,6,"WW",326504
"hijgend","W",614.7297297,11,7,"WW",327716
"hijsen","W",683.96875,114,6,"WW",286323
"hik","W",626.8571429,43,3,"N",30573
"hinde","W",731.047619,16,5,"N",248156
"hinden","W",801.4,5,6,"N",402464
"hinder","W",642.1388889,15,6,"N",327439
"hindert","W",649.4054054,98,7,"WW",351472
"hindoe","W",676.1935484,22,6,"ADJ",209203
"hindoes","W",747.28,36,7,"N",201498
"hing","W",619.0333333,664,4,"WW",103233
"hingen","W",700.9714286,152,6,"WW",369121
"hinkend","W",719.0357143,4,7,"WW",317550
"hinkte","W",675.0571429,9,6,"WW",213432
"hint","W",588,308,4,"N",113754
"hints","W",609.4444444,66,5,"N",123055
"hippie","W",683.6,117,6,"N",134273
"hippies","W",658.0909091,88,7,"N",126568
"hit","W",593.025641,249,3,"N",70316
"hitte","W",577.6315789,575,5,"N",181744
"hitten","W",658.6666667,1,6,"N",336052
"hobby","W",556.5277778,379,5,"N",28774
"hobby's","W",594.2631579,108,7,"N",63162
"hobo","W",661.05,24,4,"N",36134
"hobo's","W",773.8636364,6,6,"N",70311
"hockey","W",616.6764706,123,6,"N",55592
"hoed","W",580.7428571,1572,4,"N",92953
"hoede","W",682.08,399,5,"N",203077
"hoeden","W",691.9411765,198,6,"N",357385
"hoedje","W",589.2432432,115,6,"N",142972
"hoedjes","W",649.2432432,31,7,"N",135267
"hoef","W",647,4525,4,"WW",60414
"hoefde","W",634.0555556,1053,6,"WW",196678
"hoefden","W",690.2727273,154,7,"WW",350986
"hoefjes","W",754.6,2,7,"N",125900
"hoeft","W",610.9189189,9977,5,"WW",92089
"hoek","W",571.8461538,2183,4,"N",73330
"hoeken","W",588.8378378,205,6,"N",314650
"hoekig","W",635.6578947,10,6,"ADJ",105816
"hoekje","W",576.7692308,138,6,"N",145172
"hoekjes","W",559.1052632,18,7,"N",137467
"hoeksteen","W",618.0857143,38,9,"N",454922
"hoenders","W",822.4285714,5,8,"N",490396
"hoentje","W",729.3809524,27,7,"N",297542
"hoentjes","W",761.3333333,1,8,"N",289837
"hoepel","W",604.8333333,322,6,"WW",137978
"hoepels","W",667.6969697,9,7,"N",168552
"hoer","W",549.3076923,2419,4,"N",195578
"hoeren","W",587.9210526,757,6,"N",438591
"hoertje","W",627.8717949,169,7,"N",269616
"hoertjes","W",666.7222222,63,8,"N",261911
"hoes","W",665.4242424,51,4,"N",108590
"hoest","W",573.9473684,126,5,"WW",166290
"hoestbui","W",659,3,8,"N",159845
"hoesten","W",597.5263158,123,7,"WW",424091
"hoestend","W",717.4054054,1,8,"WW",425303
"hoestte","W",690.5135135,20,7,"WW",277718
"hoeve","W",600.4444444,32,5,"N",157042
"hoeven","W",640.6153846,2818,6,"WW",311350
"hoezen","W",742.8636364,13,6,"N",286623
"hof","W",579,1014,3,"N",34436
"hoge","W",621.1818182,2074,4,"ADJ",157543
"hogen","W",688,3,5,"ADJ",311851
"hoger","W",578.8684211,1473,5,"ADJ",236826
"hok","W",586.1351351,193,3,"N",36720
"hokje","W",569.9210526,96,5,"N",108562
"hokjes","W",579.4102564,26,6,"N",100857
"hokken","W",696.0344828,26,6,"N",285419
"hol","W",558.0769231,474,3,"N",45360
"holde","W",666,9,5,"WW",187097
"hole","W",659.6666667,108,4,"N",134933
"holen","W",618.8421053,33,5,"N",289241
"holes","W",743.7777778,29,5,"N",127228
"hollands","W",653.3513514,8,8,"ADJ",190898
"holle","W",613.4411765,81,5,"ADJ",142988
"hollen","W",619.5405405,82,6,"WW",297296
"holst","W",725.4,53,5,"ADJ",133634
"holster","W",639.625,60,7,"N",316410
"holsters","W",749.1304348,10,8,"N",345584
"holt","W",603.4761905,38,4,"WW",76183
"holte","W",611.3611111,35,5,"N",179676
"holten","W",664.9310345,9,6,"N",333984
"holtes","W",656.974359,15,6,"N",171971
"hommel","W",661.9655172,23,6,"N",123934
"hommels","W",722.1333333,7,7,"N",154508
"homo","W",570.6153846,1614,4,"N",45008
"homo's","W",612,369,6,"N",79185
"homp","W",653.6666667,12,4,"N",47278
"hompen","W",648.5,3,6,"N",283906
"hond","W",531.1891892,7375,4,"N",132766
"honden","W",560.1578947,2245,6,"N",397198
"hondje","W",550.3076923,472,6,"N",182785
"hondjes","W",547.1794872,99,7,"N",175080
"honend","W",738.75,2,6,"WW",296718
"honger","W",561.1842105,4043,6,"N",288830
"honig","W",530.5294118,9,5,"N",100838
"honing","W",578.1025641,313,6,"N",151240
"honkbal","W",587.9473684,466,7,"N",98114
"hoof","W",538.6666667,5,4,"N",61281
"hoofd","W",536.2564103,11984,5,"N",87421
"hoofddoek","W",565.1538462,48,9,"N",119285
"hoofddoel","W",671,47,9,"N",155581
"hoofde","W",644.375,14,6,"N",197545
"hoofden","W",653.7368421,441,7,"N",351853
"hoofdhuid","W",624.3243243,18,9,"N",126155
"hoofdje","W",573.0810811,103,7,"N",137440
"hoofdjes","W",632.5384615,5,8,"N",129735
"hoofdknik","W",735.3333333,2,9,"N",85991
"hoofdman","W",636.5151515,27,8,"N",182948
"hoofdpijn","W",530.5641026,767,9,"N",173363
"hoofdrol","W",562.8571429,214,8,"N",109907
"hoofdstad","W",557.6923077,281,9,"N",172670
"hoofdstraat","W",725.7142857,58,11,"N",250410
"hoofdstuk","W",572.9230769,633,9,"N",139698
"hoofdweg","W",615.5789474,124,8,"N",103123
"hoofdzaak","W",562.4871795,50,9,"N",117508
"hoofse","W",761,3,6,"ADJ",143649
"hoog","W",570.5897436,2765,4,"ADJ",72808
"hoogheid","W",620.5555556,977,8,"N",133194
"hoogmis","W",862.25,4,7,"N",121216
"hoogmoed","W",658.6756757,35,8,"N",133573
"hoogst","W",686.7,251,6,"ADJ",160054
"hoogste","W",594.2051282,793,7,"ADJ",263547
"hoogte","W",570.7027027,697,6,"N",197777
"hoogten","W",650.375,32,7,"N",352085
"hoogtes","W",641.6052632,41,7,"N",190072
"hoogtij","W",718.8787879,20,7,"N",116025
"hooi","W",598.3947368,126,4,"N",54401
"hooiberg","W",650.3333333,77,8,"N",218148
"hooikoorts","W",654.2432432,33,10,"N",177419
"hoon","W",611.6666667,14,4,"N",158399
"hoonde","W",717,1,6,"WW",269735
"hoop","W",549.9230769,16085,4,"WW",70839
"hoopje","W",624.8947368,73,6,"N",145103
"hoopjes","W",653.5945946,8,7,"N",137398
"hoopt","W",619.1578947,354,5,"WW",105010
"hoopte","W",576.5945946,1513,6,"WW",208503
"hoopten","W",578.7894737,183,7,"WW",362811
"hoopvol","W",573.7435897,76,7,"ADJ",98550
"hoor","W",536.9487179,22409,4,"WW",101089
"hoorbaar","W",609.6578947,17,8,"ADJ",176254
"hoorde","W",618.9166667,7961,6,"WW",238190
"hoorden","W",647.3055556,846,7,"WW",392498
"hoorn","W",577.1714286,350,5,"N",156638
"hoornen","W",659.6538462,12,7,"ADJ",320590
"hoorns","W",695.2068966,112,6,"N",127954
"hoorntje","W",645.4324324,9,8,"N",183577
"hoorntjes","W",668.2941176,17,9,"N",175872
"hoort","W",615.7894737,8594,5,"WW",125122
"hopen","W",593.8684211,1813,5,"WW",280622
"hopend","W",626.2702703,65,6,"WW",281834
"hoppen","W",695.2941176,6,6,"N",285883
"horde","W",597.7096774,71,5,"N",211345
"horden","W",707.96875,22,6,"N",365653
"hordes","W",695.8518519,33,6,"N",203640
"horen","W",553.1578947,15405,5,"WW",317257
"horens","W",698.5555556,76,6,"N",288573
"hormoon","W",644.625,29,7,"N",196575
"hort","W",742.375,23,4,"N",98277
"horten","W",931.8333333,4,6,"WW",356078
"horzel","W",678.4,3,6,"N",124404
"horzels","W",712.7272727,12,7,"N",154978
"hostess","W",777.8333333,26,7,"N",225877
"hostie","W",799.75,16,6,"N",216489
"hosties","W",750.1785714,8,7,"N",208784
"hotel","W",523.7631579,3880,5,"N",163909
"hotels","W",550.4736842,291,6,"N",194483
"hou","W",608.3666667,53658,3,"WW",32353
"houd","W",661.3793103,6927,4,"WW",64569
"houdbaar","W",603.5263158,17,8,"ADJ",131843
"houden","W",535.1538462,21985,6,"WW",329001
"houdend","W",612.7941176,31,7,"WW",330213
"houder","W",590.6842105,45,6,"N",253976
"houders","W",666.8529412,12,7,"N",283150
"houding","W",541.9473684,878,7,"N",134944
"houdt","W",567.5135135,14959,5,"WW",71176
"hout","W",566.3513514,1031,4,"N",71774
"houten","W",676.5128205,396,6,"ADJ",329575
"houtje","W",621.7027027,73,6,"N",121779
"houtjes","W",632.7333333,1,7,"N",114074
"houtskool","W",666.5405405,50,9,"N",106478
"houtwerk","W",654.2162162,15,8,"N",191196
"houvast","W",584.9459459,80,7,"N",140256
"houweel","W",721.0833333,33,7,"N",149496
"hoven","W",755.0625,8,5,"N",283433
"hufter","W",654.3888889,997,6,"N",237728
"hufters","W",639.030303,280,7,"N",266902
"huid","W",537.5641026,1730,4,"N",79076
"huiden","W",628.8636364,41,6,"N",343508
"huidig","W",587.027027,19,6,"ADJ",99049
"huifkar","W",690.32,21,7,"N",99468
"huil","W",566.4864865,705,4,"WW",56180
"huilbui","W",661.0540541,8,7,"N",74375
"huilde","W",568.1025641,530,6,"WW",197917
"huilden","W",607.5789474,59,7,"WW",352225
"huilen","W",535.5641026,2384,6,"WW",300061
"huilend","W",539.8947368,131,7,"WW",301273
"huilt","W",582.9230769,543,5,"WW",87003
"huis","W",536.4210526,35810,4,"N",92710
"huisarts","W",600.0526316,57,8,"N",147507
"huisbaas","W",638.9210526,195,8,"N",152017
"huisde","W",690.3703704,4,6,"WW",200969
"huisden","W",661.875,3,7,"WW",355277
"huisdeur","W",624.59375,2,8,"N",177407
"huisdier","W",595.9230769,255,8,"N",257000
"huisje","W",570.0263158,523,6,"N",139644
"huisjes","W",609.7435897,43,7,"N",131939
"huisknecht","W",694.0606061,8,10,"N",180037
"huisraad","W",671.2758621,7,8,"N",158915
"huisvrouw","W",576.4736842,136,9,"N",102927
"huiswaarts","W",649.2162162,32,10,"ADJ",189873
"huiswerk","W",554.0512821,878,8,"N",212744
"huiver","W",667.7647059,38,6,"N",219434
"huize","W",650.7368421,59,5,"N",118888
"huizen","W",587.2777778,1224,6,"N",273196
"hulde","W",657.1176471,46,5,"N",171975
"hulp","W",581.972973,10485,4,"N",27629
"hulpbron","W",677.90625,2,8,"N",159611
"hulpje","W",608.4324324,155,6,"N",101893
"hulpjes","W",647.7105263,37,7,"N",94188
"huls","W",685.1578947,115,4,"N",60812
"hulst","W",738.1071429,16,5,"N",118512
"hulzen","W",729.0344828,85,6,"N",255025
"humaan","W",675.6969697,19,6,"ADJ",180637
"humeur","W",562.9230769,215,6,"N",84551
"humor","W",537.5263158,857,5,"N",75925
"humus","W",715.5862069,4,5,"N",59678
"huren","W",569.4871795,666,5,"WW",294678
"hurken","W",749.1666667,24,6,"N",283329
"hurkte","W",675.6060606,3,6,"WW",180423
"hut","W",541.5675676,909,3,"N",56371
"hutje","W",629.9189189,70,5,"N",106376
"hutjes","W",624.7714286,11,6,"N",98671
"hutten","W",644.3714286,71,6,"N",322107
"huur","W",570.0263158,1263,4,"N",54800
"huurde","W",575.3783784,255,6,"WW",191901
"huurder","W",573.8918919,96,7,"N",271184
"huurders","W",616.6578947,103,8,"N",300358
"huwde","W",644.6486486,37,5,"WW",163108
"huwen","W",635.1111111,80,5,"WW",259296
"hymne","W",693.6296296,17,5,"N",100464
"hymnen","W",860.1333333,2,6,"N",254772
"hymnes","W",694.1818182,5,6,"N",92759
"icoon","W",657.3611111,40,5,"N",155258
"idee","W",518.1538462,21121,4,"N",194223
"idees","W",615.16,1,5,"N",186518
"idool","W",565.8,86,5,"N",75406
"iep","W",732.1666667,12,3,"N",56660
"iepen","W",710,6,5,"N",293288
"ierse","W",711.8076923,51,5,"ADJ",271001
"ietsje","W",677.0967742,142,6,"N",152220
"iglo","W",617.6,16,4,"N",47289
"iglo's","W",715.7575758,6,6,"N",81466
"ijdel","W",584.2564103,122,5,"ADJ",171384
"ijl","W",699.2857143,20,3,"ADJ",45657
"ijlde","W",719.8387097,26,5,"WW",187394
"ijle","W",690,20,4,"ADJ",135230
"ijlings","W",835.5714286,4,7,"ADJ",178984
"ijs","W",541.3589744,2567,3,"N",70997
"ijsbeer","W",569.1794872,44,7,"N",244391
"ijsberg","W",577.025641,119,7,"N",204100
"ijsje","W",541.8684211,325,5,"N",117931
"ijsjes","W",589.1052632,129,6,"N",110226
"ijskap","W",740.40625,25,6,"N",60985
"ijskast","W",640.0512821,150,7,"N",150086
"ijskoud","W",559.4210526,381,7,"ADJ",88764
"ijstijd","W",729.6944444,70,7,"N",181031
"ijver","W",568.5641026,43,5,"N",215759
"ijzel","W",611.0967742,5,5,"N",109380
"ijzer","W",568.5263158,311,5,"N",195332
"ijzers","W",568.7105263,18,6,"N",224506
"ijzig","W",679.6470588,23,5,"ADJ",78726
"image","W",646.7142857,45,5,"N",158979
"imam","W",759.8823529,13,4,"N",38212
"imams","W",767.3333333,1,5,"N",69012
"immens","W",717.1538462,49,6,"ADJ",230554
"immuun","W",682.0645161,173,6,"ADJ",103498
"impact","W",609.4736842,83,6,"N",74765
"import","W",629.7222222,63,6,"N",98055
"impuls","W",638.8484848,105,6,"N",63249
"inborst","W",729.4,22,7,"N",199677
"inbraak","W",620.0789474,522,7,"N",138774
"inbreng","W",631.7105263,44,7,"N",294119
"inbreuk","W",608.6052632,75,7,"N",126007
"incest","W",622.5789474,60,6,"N",174461
"index","W",593.8684211,17,5,"N",173070
"indisch","W",678.2285714,10,7,"ADJ",197117
"indruk","W",550.5,2229,6,"N",127700
"info","W",574.3076923,354,4,"N",55032
"infuus","W",668.5714286,144,6,"N",93160
"ingaan","W",582.6111111,370,6,"WW",233997
"ingang","W",529.4473684,715,6,"N",163478
"ingreep","W",599.0263158,103,7,"N",181803
"inham","W",729.88,17,5,"N",78684
"inheems","W",696.1142857,23,7,"ADJ",151548
"inhoud","W",574.1578947,337,6,"N",104649
"inkeer","W",666.3448276,33,6,"N",267985
"inkoop","W",633.1818182,17,6,"N",112825
"inkt","W",621.2368421,226,4,"N",100837
"inkten","W",706.0909091,4,6,"N",358638
"inktvis","W",586.5384615,91,7,"N",127554
"innen","W",669.6551724,182,5,"WW",296930
"innig","W",703.0588235,38,5,"ADJ",102262
"inning","W",710.6071429,116,6,"N",152664
"input","W",678.7297297,18,5,"N",93839
"insekt","W",664.4516129,6,6,"N",142906
"inslaan","W",637.6857143,177,7,"WW",244017
"inslag","W",623.6315789,116,6,"N",118371
"inspraak","W",625.8205128,24,8,"N",166180
"instinct","W",617.2894737,429,8,"N",232702
"insult","W",762.0526316,1,6,"N",112427
