v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,SDQ2N01,SDQ2N13,SDQ2N25,SDQ2N37,SDQ2N04,SDQ2N16,SDQ2N28,SDQ2N40,SDQ2N10,SDQ2N22,SDQ2N34,SDQ2N46,SDQ2N07,SDQ2N19,SDQ2N31,SDQ2N43,MASTENG1,MASTMAT1,TENG1,TMAT1,SENG1,SMAT1
2,3,3,3,3,3,4,4,4,3,4,4,3,4,4,4,2,3,4,4,4,3,3,4,3,2,5,5,5,5,5,5,5,5,5,5,6,5,6,5,40,20,10,10,9,9
3,3,4,4,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,40,19,10,10,10,10
3,4,3,3,3,3,4,4,4,2,4,4,4,4,4,4,4,4,1,1,2,2,1,2,4,5,4,5,5,5,5,6,6,6,5,6,2,3,2,5,37,17,10,7,9,4
3,2,4,4,4,4,3,3,3,3,4,3,4,4,2,3,2,4,3,3,3,3,2,3,5,5,6,6,2,6,4,6,6,6,5,6,6,2,6,5,36,14,10,9,9,6
3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,5,5,6,5,5,5,5,6,6,6,2,6,5,6,5,6,38,15,9,8,9,8
3,3,4,3,3,2,3,4,3,3,3,3,4,4,3,3,2,2,3,4,3,3,3,3,6,6,4,4,6,4,5,6,6,6,6,6,4,6,6,6,39,14,9,6,8,9
2,4,3,3,3,2,3,4,3,2,3,2,4,4,3,2,3,2,2,3,2,3,3,3,5,5,5,3,6,5,5,4,3,6,5,6,3,4,4,6,38,11,4,6,8,6
4,4,4,4,4,4,4,2,4,4,4,4,3,2,4,4,4,3,4,4,3,4,4,4,3,2,6,5,3,5,6,6,5,6,2,6,6,6,6,6,39,11,9,10,6,9
3,4,2,2,4,3,2,3,3,1,4,1,3,3,1,3,4,3,2,2,4,1,1,1,4,4,6,6,3,4,4,6,4,6,3,6,6,1,5,4,37,15,6,8,6,7
4,4,4,2,2,4,4,4,2,4,4,4,4,3,3,3,3,4,2,2,1,2,3,2,4,6,5,6,3,3,5,4,6,6,6,2,1,6,2,4,34,12,9,4,10,4
3,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,4,3,4,3,3,3,3,5,6,6,6,3,5,6,6,5,6,6,6,4,4,6,5,39,15,10,7,10,7
2,4,3,3,2,3,3,4,3,3,1,3,4,4,2,3,2,2,4,4,3,4,4,4,4,6,3,6,6,6,5,6,5,6,3,6,6,6,6,6,39,15,9,9,10,9
4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,2,5,6,6,5,5,5,6,6,5,6,5,5,4,6,6,5,36,16,9,5,8,9
4,4,4,3,4,4,1,3,4,3,3,3,4,4,4,4,2,3,2,3,3,3,2,3,5,5,6,5,3,5,5,6,5,6,5,6,2,5,5,5,37,14,9,7,9,7
4,4,4,4,4,4,2,2,3,1,3,2,3,3,1,1,2,2,2,2,2,1,3,2,4,6,6,4,3,2,4,6,3,6,5,6,2,4,4,4,35,13,6,6,6,6
2,2,3,2,1,3,3,3,3,2,3,2,4,3,4,4,1,3,1,2,1,1,2,1,4,4,6,3,4,3,5,5,6,6,6,6,2,1,3,4,31,11,6,4,6,4
3,4,4,4,3,3,4,4,3,3,3,3,4,4,4,3,3,4,3,4,3,3,3,3,5,6,6,5,4,5,6,6,5,6,5,6,6,6,6,6,40,11,6,6,6,6
2,3,4,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,2,3,2,2,3,2,4,5,5,5,4,6,6,6,6,6,6,6,2,3,5,4,39,14,6,6,9,7
3,3,3,3,4,2,3,3,3,2,4,3,2,3,3,3,2,3,4,3,3,3,3,3,5,5,5,6,6,6,6,6,5,5,3,2,6,6,6,6,39,18,10,10,8,8
2,4,3,4,4,3,3,1,2,2,3,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,6,2,3,5,5,5,3,4,2,4,3,2,4,6,30,9,4,6,6,6
4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,38,15,7,8,9,7
2,2,2,2,2,1,2,2,1,1,3,2,2,2,1,1,2,1,2,3,2,3,2,2,3,3,3,3,3,2,4,3,6,6,2,2,2,2,3,4,35,7,4,4,5,5
2,3,3,4,3,1,2,2,2,3,2,2,2,2,1,2,2,2,4,4,4,4,3,4,3,4,6,4,3,4,4,4,3,4,4,3,6,6,6,6,38,16,5,10,4,10
3,3,3,3,3,2,3,2,3,3,3,3,2,2,3,3,2,2,3,2,2,3,2,2,5,5,4,4,6,4,6,6,5,5,3,5,3,4,5,6,38,15,7,8,6,8
3,3,3,4,3,2,3,4,3,3,3,3,3,4,3,3,3,2,3,4,3,3,2,3,3,6,6,6,6,6,5,5,5,6,5,6,5,5,6,6,29,16,3,9,8,9
3,3,3,3,2,3,3,4,1,3,3,4,4,4,4,4,1,4,2,2,1,3,2,3,2,5,4,4,2,3,6,6,6,6,4,6,1,6,1,6,38,12,4,5,8,5
4,4,4,4,4,4,3,4,2,4,4,3,4,3,2,3,3,3,4,4,3,3,4,3,5,5,6,5,3,5,5,6,5,6,4,6,5,6,6,6,33,14,6,10,7,9
4,4,4,4,4,4,4,3,3,2,4,4,3,4,4,3,2,3,4,4,3,4,3,4,4,4,5,6,3,6,5,6,5,2,4,6,6,6,6,6,38,16,7,10,7,9
2,3,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,2,3,3,1,1,1,1,4,3,4,3,4,2,5,3,3,4,3,4,4,1,5,3,40,16,7,10,9,10
4,4,4,3,3,3,3,3,2,2,2,2,4,3,4,3,2,3,2,2,1,1,2,1,6,5,5,5,4,2,4,4,5,3,1,6,3,1,3,2,39,14,6,6,7,7
4,4,4,4,4,2,4,3,2,4,3,4,3,3,3,3,3,3,3,3,3,4,4,4,6,6,6,6,6,6,5,5,4,4,6,5,6,6,6,6,38,13,4,8,7,9
4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,6,6,6,5,6,6,6,6,6,6,6,6,5,5,5,6,39,16,10,9,9,9
4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,5,6,6,6,5,6,6,6,5,6,5,6,6,6,6,6,33,17,10,10,7,10
1,2,1,1,1,1,1,1,3,2,2,2,4,4,1,1,3,2,3,3,2,2,2,3,3,2,1,2,3,3,2,2,5,6,5,6,5,5,3,5,37,15,4,9,6,5
3,3,4,2,3,3,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,5,4,5,5,5,6,6,6,6,1,6,3,5,4,5,40,11,6,7,8,6
3,4,4,4,4,3,4,4,4,3,4,3,1,4,3,3,4,4,3,3,3,2,2,3,5,6,6,6,6,6,6,6,6,6,6,6,2,5,4,5,40,16,9,9,9,5
2,1,2,2,2,3,3,4,3,3,4,4,4,4,4,4,4,3,2,3,4,4,3,4,2,4,3,5,5,2,5,6,4,4,5,6,1,4,2,5,38,16,5,6,6,6
4,4,4,3,4,3,3,3,3,3,3,3,4,4,3,4,3,3,2,2,3,3,3,2,6,6,6,5,5,5,5,6,5,6,5,6,3,5,4,5,39,17,8,9,7,6
4,3,4,4,4,3,2,2,4,3,3,3,4,4,4,3,3,3,3,3,4,4,2,3,6,6,6,5,5,6,5,6,6,6,3,6,6,6,6,6,40,19,7,9,8,10
1,2,4,2,4,2,4,1,3,1,4,4,4,4,4,4,4,4,2,3,4,2,2,3,5,5,4,6,6,6,6,5,5,6,2,5,5,5,6,5,39,18,9,9,8,10
1,3,3,3,3,3,1,4,2,3,4,3,4,4,3,4,3,4,4,4,3,3,4,4,3,4,6,5,4,4,5,5,5,6,5,6,6,6,6,5,39,16,7,7,7,9
2,3,3,1,2,2,2,4,4,2,4,2,4,2,4,4,2,4,4,2,4,2,2,3,6,6,4,6,5,5,5,6,6,6,3,6,4,5,5,6,39,15,9,7,8,9
4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,3,3,4,2,4,3,3,3,3,5,6,6,6,6,6,6,6,5,6,6,6,3,3,4,5,40,14,9,9,7,7
2,2,3,2,2,2,3,3,4,3,2,3,4,4,3,3,4,3,4,4,4,4,3,4,5,6,5,4,4,5,4,5,5,6,4,6,6,6,6,6,31,14,6,7,7,8
2,4,3,4,4,2,2,4,3,3,3,2,4,4,4,4,2,2,4,4,3,4,2,4,4,5,6,5,6,5,5,3,5,6,1,6,6,6,6,6,39,19,7,7,6,9
3,3,3,2,2,3,2,4,4,2,4,4,3,3,3,3,2,3,4,4,4,4,4,4,5,5,6,4,3,6,6,5,4,4,2,5,6,6,6,6,40,20,7,9,6,10
2,2,4,1,1,4,2,4,1,1,1,1,4,4,4,4,1,4,3,4,1,4,1,4,4,6,5,4,5,3,3,3,4,6,3,5,4,5,5,5,40,11,6,7,7,6
4,4,4,4,4,3,3,4,3,3,3,3,2,2,2,3,4,2,4,4,3,3,3,3,4,6,6,5,4,5,5,5,5,6,5,4,4,6,5,6,37,17,8,9,7,7
4,4,4,4,4,2,3,4,2,3,4,3,4,4,1,1,3,2,2,4,1,3,3,3,5,6,6,6,4,6,5,6,5,6,6,6,1,6,4,6,39,13,9,6,8,8
3,3,4,3,3,2,2,2,3,2,3,3,2,2,2,2,1,2,3,3,3,2,2,3,5,6,6,5,6,4,5,6,3,4,2,2,6,6,6,6,35,17,10,9,8,10
1,1,1,1,1,1,1,1,2,1,2,2,4,4,3,3,3,3,2,2,2,3,2,2,3,3,1,5,1,5,2,2,2,6,1,6,2,5,2,2,39,17,6,4,6,6
4,4,4,4,4,4,4,4,3,3,4,3,4,3,2,2,4,3,3,4,3,4,4,4,6,6,6,6,5,5,6,6,6,6,3,6,5,6,6,6,37,12,7,7,7,9
3,2,2,1,3,2,2,4,3,2,3,3,2,3,3,3,3,3,2,3,2,3,2,2,5,4,5,5,6,6,6,6,4,6,2,5,6,6,6,6,38,18,9,9,7,10
3,4,4,4,4,4,4,4,2,3,3,3,4,4,2,3,3,4,3,3,2,3,2,3,6,6,5,6,4,5,5,6,5,6,6,6,4,4,5,5,40,14,7,6,8,7
4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,2,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,39,18,10,9,9,10
4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,3,4,4,4,5,6,6,5,6,6,6,6,6,6,1,6,4,4,6,4,40,16,7,7,8,8
3,3,3,3,3,3,4,4,3,3,4,4,4,4,3,3,3,3,4,4,3,3,3,4,5,6,6,5,6,5,6,6,5,6,5,6,5,6,6,6,40,16,10,10,8,10
3,4,4,3,3,3,3,3,2,2,4,3,4,4,4,4,2,4,3,2,2,4,2,3,6,3,5,4,5,5,5,6,5,6,5,6,4,5,4,4,38,13,10,7,9,7
4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,40,14,8,9,8,9
3,2,3,2,3,3,4,3,4,4,4,4,4,4,2,2,3,4,4,4,3,4,4,4,4,6,4,6,4,6,6,6,5,6,6,6,6,6,6,6,38,17,7,9,6,10
3,3,4,2,2,2,1,4,3,3,4,2,4,4,2,2,1,4,3,3,3,4,4,3,4,6,5,4,6,6,5,6,4,6,2,6,6,4,6,6,36,20,8,10,8,10
3,3,4,4,3,3,2,2,1,1,2,2,3,4,2,3,3,2,2,2,1,1,3,2,4,4,6,6,4,3,5,5,5,1,2,6,3,4,6,5,29,12,5,2,7,7
2,1,2,2,1,2,2,2,2,3,3,1,1,2,2,1,2,2,1,2,3,3,2,1,4,3,2,1,4,3,4,1,3,2,1,1,3,2,3,3,28,14,4,6,3,8
3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,4,5,5,4,4,5,5,5,5,6,4,5,3,4,4,4,39,13,7,9,7,6
2,2,2,3,2,4,2,4,2,3,3,3,4,4,4,3,2,3,2,4,2,3,1,2,4,5,4,4,4,5,4,4,5,5,2,6,2,3,4,5,40,16,8,8,7,7
2,3,3,3,3,2,1,2,2,2,2,2,3,3,3,3,3,2,2,3,2,2,3,3,2,5,6,5,6,4,5,5,6,5,5,6,3,3,2,3,34,12,6,5,6,6
2,3,3,3,3,3,3,4,4,3,3,3,2,3,1,2,3,3,4,4,4,3,4,3,3,6,6,6,6,5,6,6,5,4,6,3,6,6,6,6,34,14,7,8,6,8
4,4,4,4,4,2,2,2,3,2,3,2,3,3,2,3,2,3,2,3,3,3,3,2,5,6,6,3,5,5,4,6,3,3,1,3,4,6,4,5,37,17,6,7,6,7
3,2,4,2,3,4,2,3,2,3,4,3,4,4,3,4,4,3,3,2,3,3,3,3,6,6,6,6,6,5,5,5,5,6,6,6,3,2,5,5,39,11,9,8,9,8
4,2,4,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,4,4,4,3,4,4,4,5,5,5,6,5,5,5,5,6,2,5,5,5,6,6,34,14,6,6,7,9
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,38,22,9,9,8,10
4,3,4,4,3,3,3,4,3,2,4,2,4,4,4,4,2,2,3,3,2,2,2,2,4,6,6,4,2,6,5,6,5,6,2,6,6,6,5,6,31,16,6,6,6,6
3,3,4,3,4,3,3,3,3,3,3,3,4,4,2,1,3,2,3,3,2,2,2,3,3,1,6,4,6,5,5,6,4,6,5,6,5,4,6,5,39,16,8,8,7,8
3,4,4,4,4,4,3,3,3,2,3,3,4,4,3,3,4,4,1,1,1,1,2,1,5,5,6,5,6,4,3,5,5,6,6,6,3,3,3,2,38,16,8,6,7,5
4,4,4,4,4,4,4,1,4,4,4,3,3,3,4,3,2,3,4,3,3,4,2,3,6,6,6,5,5,5,6,5,5,6,2,5,4,6,5,5,35,17,6,7,8,7
3,3,4,4,4,3,2,3,4,1,3,2,4,3,4,1,2,3,3,2,4,4,4,3,3,4,6,4,6,5,2,1,3,5,2,1,4,2,4,1,35,11,6,2,7,9
2,3,2,1,1,3,3,3,2,3,3,2,4,3,2,2,2,3,1,1,2,1,2,1,3,2,5,4,4,4,3,2,4,5,4,6,1,2,2,2,35,11,6,4,6,5
1,1,3,1,1,1,2,2,3,3,4,2,4,2,4,4,2,2,2,2,3,3,2,3,3,2,2,1,1,3,1,5,4,4,6,5,1,2,2,5,29,13,4,2,6,3
3,2,4,3,4,3,3,3,4,3,4,4,1,2,1,1,2,3,2,1,2,3,2,2,6,6,5,6,6,5,5,1,5,6,2,6,2,2,5,2,32,12,8,7,9,8
2,4,3,2,2,3,3,1,3,2,4,2,3,4,4,2,3,2,1,1,1,1,1,1,3,6,4,5,1,4,6,6,4,6,6,6,1,1,4,4,35,14,8,6,8,7
2,2,3,3,2,2,3,3,3,3,3,3,4,3,3,3,2,4,4,3,3,3,3,3,4,2,6,5,4,5,6,4,4,6,3,6,6,5,6,5,25,10,5,4,8,9
2,3,1,2,1,3,2,3,1,3,3,1,4,4,3,4,1,3,1,1,1,2,1,1,4,6,3,4,6,4,4,5,6,6,6,6,2,1,1,3,37,14,7,2,6,5
4,4,4,4,4,4,3,3,4,2,4,3,4,4,4,4,3,3,4,2,2,4,4,3,4,6,5,5,5,5,5,5,6,5,4,6,6,4,6,6,38,16,7,6,8,8
4,4,4,4,4,4,1,2,1,3,1,2,1,3,1,3,3,2,1,3,1,3,2,1,5,6,6,6,4,1,1,1,1,1,5,2,1,3,1,5,39,12,4,1,1,2
3,3,3,3,3,3,3,4,3,3,4,3,4,4,3,4,2,4,4,4,4,4,3,4,5,5,5,5,5,6,6,6,5,6,4,6,6,6,6,6,40,23,7,10,7,10
3,3,3,3,3,3,3,4,3,3,4,3,4,4,4,4,2,3,4,4,3,4,4,4,6,4,5,5,5,5,6,5,5,6,5,6,6,6,6,6,40,20,8,10,9,10
2,2,3,3,3,3,2,3,3,2,3,2,4,3,3,3,3,3,3,2,2,2,2,3,6,6,5,5,5,5,5,5,5,6,2,5,4,2,5,2,38,16,7,6,8,8
2,3,2,2,2,2,3,3,3,2,3,3,4,4,4,4,2,3,3,3,4,4,3,4,3,3,3,4,4,4,4,5,4,5,2,6,6,5,4,5,38,16,5,6,6,8
4,4,4,4,4,3,2,3,2,2,3,2,2,2,2,2,2,3,1,2,1,1,3,2,3,3,6,4,2,2,3,3,4,3,3,3,1,1,1,5,35,11,5,2,5,5
4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,2,3,3,4,3,3,2,3,5,6,5,5,4,5,4,5,5,5,5,5,5,5,5,5,38,18,7,9,7,9
3,3,3,3,3,2,2,3,3,2,3,2,4,4,2,2,2,3,1,1,1,1,1,1,3,6,2,6,5,6,2,5,6,6,6,6,1,1,1,1,40,12,7,4,9,5
4,4,4,4,4,3,3,2,3,3,3,3,4,4,3,3,3,3,4,3,4,4,3,3,5,6,5,3,5,4,4,5,4,5,6,6,6,5,5,6,40,15,7,9,8,9
4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,4,3,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,39,20,9,9,10,10
4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,5,5,6,6,6,6,6,5,6,6,6,6,6,40,23,7,10,9,10
2,3,4,4,3,3,3,4,2,2,3,2,4,3,3,3,3,1,2,1,3,3,3,2,6,6,5,5,4,3,3,5,5,6,5,3,3,5,4,2,30,14,5,5,8,6
4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,6,6,5,6,5,5,5,5,5,3,3,6,6,6,6,6,40,18,7,10,8,10
2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,4,4,3,6,5,4,6,5,5,2,6,6,6,5,6,40,17,6,5,5,9
3,3,3,4,3,3,3,4,3,3,3,3,4,4,2,3,4,3,3,4,3,2,2,3,5,6,6,5,5,5,5,5,5,6,5,6,4,5,6,5,40,16,9,9,9,8
4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,3,3,5,6,6,6,5,5,6,6,6,6,5,6,6,5,6,5,39,17,8,9,10,9
3,4,3,4,4,3,3,3,3,2,3,3,4,4,4,4,3,4,3,3,3,4,3,3,5,6,5,5,4,5,5,5,6,6,6,6,4,5,5,5,40,17,9,9,10,8
4,4,3,4,4,1,4,4,3,4,4,4,4,4,3,4,2,3,4,4,4,4,4,4,5,5,5,5,6,6,5,6,6,6,5,6,5,5,6,6,40,21,9,10,7,9
4,4,4,4,4,3,4,4,3,2,4,4,4,4,4,4,2,4,2,2,2,3,3,2,6,6,6,6,6,6,6,5,5,6,6,6,2,4,6,5,40,17,10,9,8,9
3,4,4,3,4,3,3,3,4,2,3,3,3,3,1,3,3,2,3,4,4,4,4,4,5,6,6,4,6,6,2,5,5,6,2,6,6,6,5,6,36,19,6,5,6,8
3,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,2,4,4,4,4,4,3,4,6,5,6,5,6,6,5,6,6,6,6,6,6,6,6,6,36,14,6,9,9,10
3,3,3,3,3,3,3,3,2,2,3,2,4,4,4,3,3,3,3,3,3,2,2,3,5,6,5,5,6,4,2,5,6,6,6,6,4,2,5,3,40,15,6,6,7,7
4,2,4,3,4,4,3,4,3,2,4,3,4,4,4,4,3,3,4,4,3,4,3,3,5,5,5,5,3,5,5,6,5,6,4,5,5,5,6,6,40,17,7,9,8,9
4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,6,5,6,6,6,6,6,5,6,5,6,6,6,6,6,40,21,9,10,9,10
4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,2,4,3,4,4,4,2,3,5,6,5,4,6,6,6,6,6,6,6,6,4,5,5,6,38,15,6,7,7,8
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,6,6,5,5,5,5,5,5,5,6,2,6,4,6,5,6,37,17,7,7,7,7
4,3,4,3,4,2,3,3,2,2,3,3,4,4,2,3,3,3,2,2,2,3,3,3,4,6,5,4,6,4,4,4,4,5,3,6,3,3,5,6,38,13,7,8,8,7
3,1,3,4,4,4,2,4,2,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,6,6,5,5,4,5,5,5,5,3,5,5,4,5,5,39,14,5,5,7,8
4,2,4,4,3,4,2,3,2,3,2,3,4,4,4,4,3,4,2,2,2,2,2,2,5,5,6,5,4,5,5,5,5,5,3,6,3,5,4,4,38,18,6,6,9,7
4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,4,2,2,4,4,6,6,6,6,4,6,5,6,4,6,6,6,5,5,6,6,40,15,7,8,8,8
2,4,3,3,4,3,2,2,1,1,3,2,2,2,3,2,2,2,3,3,3,2,2,3,6,6,5,6,5,5,5,6,6,6,6,6,6,6,6,6,40,15,4,9,8,9
3,3,4,3,4,3,3,4,2,3,3,3,4,4,4,4,2,4,4,4,4,4,4,4,5,6,6,5,5,5,5,4,6,6,5,6,6,6,6,1,40,17,6,9,6,7
4,4,4,4,4,3,3,4,3,4,4,3,4,4,4,4,3,3,4,4,3,3,3,4,5,6,6,5,2,5,6,6,5,6,5,6,6,6,6,6,40,15,7,8,7,9
4,4,4,4,4,4,4,4,2,3,4,2,1,1,4,4,4,4,4,4,4,4,4,1,6,6,6,6,6,6,6,6,5,6,2,2,5,6,6,6,37,16,8,5,7,8
4,4,4,4,4,4,3,3,3,3,4,3,3,4,3,4,2,3,4,4,3,4,2,4,4,6,4,6,6,5,6,6,4,6,4,6,6,6,6,6,40,15,8,10,10,8
