group,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,total1,total2,total3
Random Not,4,3,6,7,5,6,1,6,7,1,6,2,2,3,3,4,3,3,4,5,105,106,108
Random Not,4,3,5,5,3,6,1,4,6,3,5,5,7,1,3,6,3,2,3,5,107,109,112
Random Not,4,3,6,6,3,6,2,5,5,2,6,5,6,2,3,7,2,2,2,6,102,104,106
Random Not,4,3,5,5,3,6,5,5,7,2,7,5,6,5,3,4,,1,5,5,101,103,107
Random Not,4,6,5,4,6,4,2,5,5,4,2,4,6,3,3,6,5,2,3,4,100,104,104
Random Not,4,6,5,7,3,7,7,4,5,1,7,5,5,4,3,5,4,4,4,5,102,107,106
Random Not,4,2,5,6,4,4,3,5,4,2,6,4,4,4,3,7,2,4,1,6,101,107,105
Random Not,4,4,7,7,3,4,1,4,5,2,6,1,7,2,3,7,1,7,2,7,102,104,108
Random Not,4,6,6,7,4,7,1,6,7,2,7,6,7,1,3,7,1,1,1,7,104,106,108
Random Not,4,4,4,4,3,5,3,5,3,5,3,5,3,5,3,5,4,4,4,4,96,98,96
Random Not,4,5,7,7,5,7,1,5,5,4,4,3,4,1,3,7,3,4,4,6,96,99,104
Random Not,4,3,5,5,3,5,4,6,5,3,5,5,5,3,3,4,3,3,3,5,106,110,112
Random Not,4,5,5,5,5,4,2,5,5,4,4,4,5,4,3,4,4,4,3,4,98,101,102
Random Not,4,4,5,5,3,5,6,2,5,,4,4,5,3,3,3,3,3,3,4,103,106,107
Random Not,4,3,5,3,5,4,5,6,3,3,3,4,6,2,3,4,3,1,3,5,108,112,114
Random Not,4,4,6,6,5,4,2,5,5,3,5,4,6,2,3,6,2,6,5,5,104,107,111
Random Not,4,4,6,5,2,2,1,5,4,7,1,2,6,1,3,2,5,6,4,4,94,101,103
Random Not,4,3,6,6,4,6,2,5,5,2,4,4,4,2,3,7,2,2,4,4,104,108,110
Random Not,4,2,6,6,4,7,2,5,5,3,3,3,5,1,3,4,4,3,4,4,107,110,112
Random Not,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,3,4,5,5,4,107,114,111
Random Not,4,3,6,5,3,4,1,5,5,3,5,4,5,2,3,3,2,2,3,5,100,105,106
Random Not,4,5,5,5,5,4,2,3,5,2,5,4,3,1,3,7,4,4,5,4,101,107,109
Random Not,4,3,6,6,3,5,2,5,6,3,6,5,6,2,4,6,2,2,3,5,101,107,104
Random Not,4,2,6,5,5,6,1,5,2,4,4,4,4,4,4,4,4,4,4,4,105,104,106
Random Not,4,3,5,4,4,4,1,4,4,4,7,4,4,4,4,4,2,2,2,6,104,108,105
Random Not,4,2,7,7,3,7,1,7,7,2,7,7,7,3,4,7,2,1,2,7,102,104,108
Random Not,4,7,4,1,7,1,4,4,1,7,1,1,4,1,4,1,7,7,7,1,103,110,106
Random Not,4,3,5,5,3,7,1,5,5,2,6,4,5,3,4,4,4,1,3,5,102,106,106
Random Not,4,5,5,4,5,5,1,5,5,4,1,1,5,4,4,1,4,4,4,4,100,103,106
Random Not,4,3,6,6,3,5,3,6,6,2,6,5,7,4,4,6,3,7,3,6,101,102,107
Random Not,4,4,5,1,6,2,3,4,3,5,1,2,6,4,4,2,5,4,4,4,108,114,114
Random Not,4,3,4,4,3,5,2,3,5,4,5,4,5,3,4,3,3,2,3,4,98,97,102
Random Not,4,3,6,7,5,7,1,5,7,1,7,5,6,2,4,7,2,2,2,7,100,104,106
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,101,106,106
Random Not,4,5,5,4,6,4,2,5,4,5,3,4,5,4,4,5,5,4,5,5,109,114,115
Random Not,4,5,5,3,4,1,2,4,2,5,1,2,6,4,4,1,5,5,7,4,105,109,109
Random Not,4,4,5,4,5,5,4,3,6,3,4,4,4,3,4,6,4,3,4,4,99,103,104
Random Not,4,4,4,4,4,4,4,4,4,2,6,6,6,4,4,7,2,6,4,4,105,108,109
Random Not,4,3,5,7,2,6,4,5,5,2,6,5,6,2,4,5,2,2,3,5,102,106,110
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,104,109,110
Random Not,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,103,105,106
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,107,112,108
Random Not,4,3,5,4,4,5,3,3,4,4,5,3,5,5,4,4,3,3,3,5,107,111,113
Random Not,4,3,5,5,4,6,1,4,5,3,5,3,5,1,4,5,3,2,4,4,106,109,113
Random Not,4,7,7,7,4,4,1,7,7,4,4,4,7,7,4,7,1,1,1,7,103,109,113
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,99,98,103
Random Not,4,4,5,4,6,5,4,4,4,4,4,4,6,3,4,7,4,4,3,5,105,108,111
Random Not,4,4,5,4,4,5,1,4,5,4,4,4,4,4,4,7,4,4,4,4,109,108,113
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,103,109,109
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,107,108,110
Random Not,4,2,7,7,1,7,1,6,7,1,7,7,7,1,4,7,1,1,1,7,106,108,111
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,104,104,109
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,105,109,111
Random Not,4,2,7,6,3,6,1,6,6,2,6,5,7,2,4,7,2,2,3,6,106,109,111
Random Not,4,3,5,5,3,5,2,5,5,2,6,6,6,2,4,7,2,1,2,5,105,107,107
Random Not,4,4,5,5,5,5,5,5,5,5,5,5,6,4,4,7,4,4,4,4,101,103,106
Random Not,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,101,102,106
Random Not,4,3,6,6,2,5,2,3,5,2,5,2,4,3,4,6,3,2,3,5,103,105,110
Random Not,4,4,7,5,5,4,4,4,6,4,4,4,7,4,4,4,4,4,4,6,100,104,108
Random Not,4,3,5,5,6,6,4,5,5,3,4,3,5,6,4,3,3,4,4,3,103,108,110
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,102,105,106
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,102,106,107
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,103,106,108
Random Not,4,3,5,5,4,5,1,4,5,4,7,4,4,3,4,7,4,4,3,5,107,109,110
Random Not,4,5,6,4,5,4,1,5,5,6,4,4,6,4,5,7,3,3,4,5,98,103,107
Random Not,4,3,6,5,4,5,4,6,5,3,3,5,6,4,5,3,3,2,4,5,100,105,104
Random Not,4,2,6,6,3,6,2,5,6,3,6,3,5,2,5,7,4,1,3,5,105,108,109
Random Not,4,6,6,4,3,4,2,5,5,5,1,5,5,4,5,3,4,5,3,4,113,113,115
Random Not,4,5,7,6,3,6,3,5,5,4,3,2,7,3,5,7,3,3,5,7,105,110,112
Random Not,4,6,2,4,6,4,2,4,3,6,3,1,7,7,5,5,5,4,6,2,106,105,112
Random Not,4,5,5,6,5,6,6,5,6,3,5,5,6,5,5,5,3,3,4,4,102,108,107
Random Not,4,5,3,5,4,5,5,3,6,5,4,5,5,3,5,3,5,4,5,4,106,109,111
Random Not,4,7,6,5,6,5,1,4,4,2,7,2,6,4,5,6,3,2,5,5,102,104,107
Random Not,4,5,6,6,7,4,1,5,6,2,6,5,6,2,5,7,3,1,7,6,106,109,112
Random Not,4,4,4,4,4,4,4,4,4,4,5,6,4,5,5,6,6,6,6,6,102,105,106
Random Not,4,5,5,6,4,7,1,4,5,2,7,4,6,3,5,7,3,3,3,5,100,102,103
Random Not,4,3,7,6,2,5,1,5,6,3,7,4,7,5,5,3,1,1,3,6,106,107,107
Random Not,4,5,5,6,5,4,1,4,5,3,5,5,5,2,5,3,3,2,2,5,95,95,99
Random Not,4,3,6,5,3,6,1,5,5,3,5,5,4,3,5,5,3,3,3,5,104,105,110
Random Not,4,3,6,7,4,7,1,4,5,3,7,5,6,4,5,7,2,2,3,5,116,119,120
Random Not,4,3,5,3,5,5,3,4,5,4,5,3,5,3,5,4,4,3,5,4,97,102,104
Random Not,4,4,6,5,5,5,1,5,5,3,5,4,6,5,5,2,3,2,3,5,102,102,104
Random Not,4,5,4,4,5,5,3,3,5,4,4,4,4,4,5,5,5,4,5,6,105,109,109
Random Not,4,6,6,6,5,6,2,6,6,2,5,4,7,3,5,3,3,2,2,6,103,105,111
Random Not,4,4,4,4,5,7,7,6,5,5,5,5,4,5,5,5,5,5,5,5,107,108,109
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,3,104,105,107
Random Not,4,4,6,4,3,6,2,4,5,3,2,3,6,4,6,6,2,3,5,4,108,109,111
Random Not,4,3,6,5,4,5,1,5,6,5,3,3,6,3,6,5,2,1,2,6,104,108,108
Random Not,4,3,6,6,4,4,1,6,6,2,7,5,4,7,6,2,2,4,3,6,111,114,114
Random Not,4,4,5,5,5,6,1,4,5,3,7,4,5,3,6,6,3,3,4,5,103,104,108
Random Not,4,2,6,5,4,6,1,5,5,1,5,6,7,4,6,7,3,3,4,6,106,110,112
Random Not,4,5,5,6,5,4,2,6,5,2,6,5,6,4,6,7,2,2,4,6,103,105,108
Random Not,4,5,7,7,7,5,1,5,5,3,5,4,7,1,6,7,2,1,2,5,104,109,110
Random Not,4,3,7,5,4,4,1,4,5,3,5,4,6,3,6,2,4,4,3,4,102,105,103
Random Not,4,4,6,5,3,6,1,5,6,4,4,2,6,4,6,2,4,4,5,5,103,105,107
Random Not,4,3,6,5,5,6,1,2,5,2,5,4,6,2,6,6,4,2,4,5,104,109,108
Random Not,4,5,5,5,5,5,1,5,4,6,2,1,5,3,6,2,6,3,7,4,105,106,110
Random Not,4,5,6,6,5,5,1,5,5,3,6,5,7,1,6,7,2,2,4,5,100,99,105
Random Not,4,5,4,3,5,4,3,2,3,5,3,4,5,4,6,4,4,3,5,2,106,104,107
Random Not,4,4,6,6,4,5,1,5,4,3,5,4,7,4,6,6,1,4,3,4,100,108,108
Random Not,4,2,7,7,2,5,1,7,7,1,7,4,7,2,6,7,2,1,1,7,107,109,111
Random Not,4,3,6,6,3,6,1,5,5,3,5,4,5,3,6,5,2,3,3,6,103,108,107
Random Not,4,3,7,7,3,6,2,5,5,4,6,4,7,3,6,7,2,1,2,6,102,107,105
Random Not,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,5,5,5,6,5,101,106,107
Random Not,4,7,1,1,4,2,2,1,2,6,1,2,6,4,6,1,6,4,5,1,106,107,108
Random Not,4,5,5,3,6,4,1,5,4,5,3,3,4,2,6,6,2,3,4,4,104,105,109
Random Not,4,4,5,4,5,4,3,5,5,6,5,4,6,2,6,2,3,3,3,5,107,111,116
Random Not,4,1,6,6,3,7,1,4,6,1,7,5,7,1,6,6,2,1,2,5,106,108,110
Random Not,4,2,5,6,5,5,4,4,6,5,4,4,4,1,6,6,3,3,3,5,105,111,114
Random Not,4,4,6,5,4,6,2,5,4,3,6,5,5,3,6,3,4,3,3,5,101,108,108
Random Not,4,5,6,5,5,3,1,5,5,5,3,4,6,3,7,2,3,3,4,5,100,106,108
Random Not,4,2,7,6,4,6,2,6,5,3,5,4,7,4,7,2,1,1,2,6,102,106,109
Random Not,4,5,5,5,,6,5,5,5,4,4,3,5,5,7,7,3,2,5,4,106,108,108
Random Not,4,4,5,4,6,3,4,2,4,3,6,4,7,7,7,6,1,5,3,5,107,108,114
Random Not,4,3,6,5,3,5,1,2,5,3,4,4,7,1,7,4,1,1,3,5,107,109,111
Random Not,4,4,5,6,5,6,2,4,4,5,6,4,6,4,7,7,2,4,7,5,96,101,104
Random Not,4,5,4,7,3,7,1,4,5,2,6,5,4,3,7,6,2,3,4,4,97,101,104
Random Not,4,4,7,5,4,6,1,4,5,2,4,4,7,1,7,7,4,2,4,6,99,103,106
Random Not,4,4,6,6,2,6,1,5,6,3,7,6,6,1,7,3,1,1,3,6,106,110,110
Random Not,4,4,6,5,4,6,1,5,6,4,4,3,6,4,7,3,3,4,6,5,100,107,109
Random Not,4,5,5,3,4,5,1,3,4,5,2,2,5,1,7,6,2,4,3,3,104,103,106
Random Not,4,3,6,5,6,4,2,5,5,4,5,5,3,2,7,5,3,4,4,5,106,112,110
Random Not,4,3,6,7,3,4,1,4,5,4,5,7,4,3,7,1,1,1,3,5,105,109,108
Random Not,4,7,7,4,6,7,1,7,4,4,4,1,7,1,7,1,7,4,4,4,103,106,108
Random Not,4,2,6,7,3,7,1,5,5,1,7,5,5,2,7,7,2,1,2,6,105,103,108
Random Not,4,4,4,5,4,4,5,4,5,4,4,4,4,5,7,4,5,4,4,4,104,108,106
Random Not,4,3,6,6,3,6,1,5,5,2,5,5,4,3,7,4,1,2,4,5,106,111,111
Random Not,4,4,5,6,5,7,2,4,6,3,4,2,7,2,7,6,4,2,4,5,103,105,109
Random Not,4,2,6,6,4,7,1,4,6,2,7,7,7,1,7,7,1,1,1,7,102,106,108
Random Not,4,4,5,5,4,4,4,5,4,3,6,3,7,3,7,5,1,2,3,5,97,101,101
Random Not,4,5,5,4,5,4,2,5,4,5,4,3,5,3,7,5,5,4,5,4,105,108,108
Random Not,4,3,7,4,5,5,1,6,6,2,6,4,7,2,7,7,2,6,2,7,100,102,103
Random Not,4,4,5,4,4,3,4,5,4,4,3,3,5,3,7,1,4,3,3,4,104,103,108
Random Random,4,4,5,3,4,4,1,3,3,7,2,1,6,6,7,3,4,5,4,4,100,104,105
Random Random,4,4,4,5,3,3,2,4,4,4,4,3,5,3,,3,4,3,4,4,100,102,103
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,104,109,110
Random Random,4,4,4,4,,4,,4,4,4,4,4,4,4,,4,4,,4,4,100,102,106
Random Random,4,7,7,5,4,4,,5,5,3,7,6,,7,,7,5,2,6,6,100,98,103
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,100,104,104
Random Random,4,6,7,5,4,6,4,4,6,4,5,6,4,7,,4,7,5,6,4,109,110,111
Random Random,4,4,7,5,3,1,1,6,3,3,4,5,7,2,,1,5,3,4,5,103,108,111
Random Random,4,3,4,3,4,4,4,4,4,4,4,4,4,4,,3,4,2,3,5,103,102,109
Random Random,4,4,1,4,5,5,1,3,4,4,5,4,6,7,,7,4,7,5,1,111,113,116
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,109,112,111
Random Random,4,3,6,6,3,4,1,6,5,3,5,5,5,3,,1,2,2,5,5,100,102,108
Random Random,4,3,5,5,4,5,2,5,6,4,4,5,6,4,,4,3,1,3,6,98,101,102
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,110,108,111
Random Random,4,4,4,7,7,7,1,1,5,2,7,1,5,1,,6,3,1,7,3,103,105,108
Random Random,4,7,5,4,7,4,4,5,6,5,6,6,7,3,,5,4,5,6,2,102,105,109
Random Random,4,4,5,5,5,6,1,3,4,5,5,4,4,4,,3,3,5,7,4,102,105,108
Random Random,4,4,5,5,6,4,3,5,5,3,5,4,5,2,,7,4,6,6,5,102,106,111
Random Random,4,4,7,7,4,6,1,3,5,3,5,4,5,1,,2,1,7,7,5,102,107,105
Random Random,4,3,7,6,3,4,4,5,5,3,7,3,7,1,,7,4,2,5,5,101,105,103
Random Random,4,3,6,6,2,7,1,7,5,3,4,3,7,3,,7,3,1,4,4,108,112,113
Random Random,4,5,5,5,5,5,4,4,6,3,5,5,4,5,,2,4,2,4,5,108,113,112
Random Random,4,4,6,6,4,5,2,6,6,3,4,6,6,1,,7,1,2,4,6,101,105,106
Random Random,4,1,7,5,1,7,4,4,4,4,6,1,5,6,,4,3,1,1,6,103,107,109
Random Random,4,3,5,6,4,4,1,6,5,4,6,5,7,3,,4,2,4,2,6,100,103,105
Random Random,4,4,5,7,4,5,1,5,5,2,7,5,5,2,,7,3,2,4,5,105,104,106
Random Random,4,5,5,6,5,5,2,5,6,3,6,5,7,6,,7,3,5,5,5,107,111,112
Random Random,4,5,5,5,6,5,1,5,4,5,6,5,6,2,,4,3,5,4,5,97,98,102
Random Random,4,4,7,4,6,5,4,6,4,4,6,4,4,4,,6,1,4,3,,105,108,112
Random Random,4,3,6,6,6,6,2,5,6,2,6,6,6,2,,7,6,2,2,5,104,108,110
Random Random,4,7,7,7,1,7,1,6,6,1,4,7,7,4,,7,4,4,2,6,107,110,107
Random Random,4,2,7,6,1,5,1,6,6,2,7,1,7,3,,3,1,2,2,7,106,106,108
Random Random,4,3,5,6,5,7,1,5,5,3,6,6,7,4,,5,4,4,4,5,107,111,110
Random Random,4,4,4,3,3,4,5,4,4,5,4,4,5,4,,5,3,4,5,4,103,106,106
Random Random,4,2,7,7,1,4,4,7,7,4,7,5,7,1,,7,1,1,1,7,102,107,108
Random Random,4,4,5,4,6,6,2,5,5,4,3,3,6,4,,2,3,4,3,5,103,106,106
Random Random,4,4,5,5,5,4,2,4,4,4,4,3,5,3,,5,4,3,5,2,106,106,108
Random Random,4,4,6,5,5,4,5,5,4,4,3,3,6,2,,5,2,1,5,5,99,103,108
Random Random,4,6,7,2,5,6,4,4,4,5,6,4,5,3,,5,5,4,3,6,102,102,104
Random Random,4,3,5,5,3,5,2,5,5,4,5,4,5,1,,4,3,4,4,5,95,98,101
Random Random,4,6,7,1,4,5,3,3,5,5,6,4,4,2,,4,2,2,5,5,100,105,106
Random Random,4,3,5,5,5,3,3,4,6,3,1,2,7,5,,3,2,6,5,5,105,109,107
Random Random,4,4,4,7,4,4,,4,3,4,4,4,4,4,,4,4,2,4,4,107,110,110
Random Random,4,3,6,6,5,7,1,3,5,2,6,5,6,6,,7,3,1,3,5,105,107,110
Random Random,4,4,7,6,4,7,1,5,5,2,1,1,7,4,,3,1,4,4,6,108,107,111
Random Random,4,3,6,5,3,5,1,5,5,3,6,4,6,3,,4,2,3,4,7,108,108,110
Random Random,4,4,5,5,4,4,3,4,4,4,3,3,3,2,,5,2,4,5,4,102,111,111
Random Random,4,4,4,4,5,5,1,5,4,5,4,4,4,1,,5,5,1,4,4,107,113,113
Random Random,4,3,5,5,4,7,1,3,5,3,4,4,5,2,,1,4,2,4,4,98,103,103
Random Random,4,3,4,3,3,3,1,4,5,4,1,1,5,6,,1,5,6,6,3,103,108,107
Random Random,4,4,6,5,3,7,4,5,5,3,5,4,5,3,,6,3,2,4,5,98,103,103
Random Random,4,4,5,4,4,1,4,4,4,5,3,3,5,4,,2,4,4,4,5,99,102,105
Random Random,4,5,6,7,3,7,1,5,6,1,7,5,6,2,,7,2,2,3,5,104,110,107
Random Random,4,4,5,5,4,4,1,4,5,5,4,2,5,2,,7,4,2,4,4,98,103,103
Random Random,4,4,7,6,4,5,4,4,4,5,6,3,5,4,,4,4,3,4,5,98,102,105
Random Random,4,1,7,7,4,7,1,5,7,1,7,4,7,1,,7,1,1,4,7,98,100,103
Random Random,4,5,5,5,5,3,3,5,4,3,4,5,6,2,,3,3,4,4,5,103,111,108
Random Random,4,3,4,5,5,5,1,4,4,3,4,5,6,3,,2,4,4,4,5,106,106,111
Random Random,4,3,5,6,4,6,2,3,5,3,7,4,6,3,,7,3,3,4,6,103,108,109
Random Random,4,3,4,4,2,4,2,4,4,3,3,4,5,4,,7,4,4,4,6,103,105,106
Random Random,4,3,5,7,3,7,1,4,5,2,7,5,7,1,,3,2,1,1,5,98,102,100
Random Random,4,4,4,4,4,5,2,5,4,3,3,4,5,4,,3,4,4,1,3,99,104,107
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,102,108,109
Random Random,4,4,5,5,4,4,1,4,3,5,4,4,7,4,,1,1,4,4,5,106,108,108
Random Random,4,4,7,6,4,7,1,7,5,4,5,6,7,1,,7,1,1,2,7,105,110,111
Random Random,4,3,5,5,4,5,1,4,6,3,5,5,5,4,,5,2,4,4,4,103,108,109
Random Random,4,3,6,5,3,3,3,5,4,4,6,4,7,4,,2,4,3,3,6,100,104,107
Random Random,4,4,5,6,5,7,1,3,5,3,7,5,6,1,,7,2,1,2,5,105,108,111
Random Random,4,4,5,5,3,5,1,4,5,3,5,4,5,2,,6,4,1,5,4,99,103,103
Random Random,4,3,4,5,3,5,1,4,6,3,6,3,6,1,,7,3,2,3,4,99,103,104
Random Random,4,5,7,7,4,5,2,3,6,3,5,5,6,2,,5,2,3,1,6,107,112,110
Random Random,4,4,4,4,5,5,1,3,4,4,3,4,5,3,,3,4,2,3,4,111,111,115
Random Random,4,7,7,,5,3,1,5,2,5,3,5,7,1,,2,5,1,5,5,102,105,107
Random Random,4,4,,7,1,5,1,6,6,2,6,2,7,1,,7,1,1,4,7,109,111,109
Random Random,4,3,6,5,2,5,1,3,6,2,4,5,7,1,,7,4,2,6,5,107,109,110
Random Random,4,4,4,5,4,4,3,4,4,3,3,3,4,4,,3,3,4,4,6,103,107,111
Random Random,4,4,5,5,4,4,2,5,5,3,4,3,4,5,,6,3,4,6,5,94,99,100
Random Random,4,3,6,3,5,4,2,4,4,4,3,1,7,5,,3,3,2,7,4,101,106,107
Random Random,4,4,6,7,1,7,1,5,7,1,7,5,7,2,,7,1,4,2,6,103,103,105
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,108,113,112
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,101,105,108
Random Random,4,4,5,5,4,4,5,6,7,4,6,4,7,5,,7,4,1,4,6,105,112,110
Random Random,4,5,6,6,4,6,6,5,5,2,4,5,3,1,,7,4,2,3,5,106,108,109
Random Random,4,3,6,7,5,4,4,5,5,4,5,4,5,1,,7,3,1,5,5,97,102,104
Random Random,4,3,6,7,2,4,4,4,4,1,5,4,5,4,,4,4,4,2,6,107,108,108
Random Random,4,3,6,7,3,7,1,6,6,1,5,6,7,1,,7,1,1,1,7,105,107,110
Random Random,4,2,7,7,3,5,1,4,6,1,7,4,7,2,,6,2,2,2,7,105,106,107
Random Random,4,3,7,7,2,6,2,5,6,2,6,6,7,2,,6,2,1,1,6,101,103,103
Random Random,4,4,6,6,4,7,3,5,7,5,4,6,5,1,,2,2,3,4,5,107,109,111
Random Random,4,4,4,4,4,5,4,4,4,4,4,4,4,4,,4,4,4,4,4,105,105,108
Random Random,4,3,6,5,3,6,4,5,5,5,5,4,6,3,,4,2,1,4,5,101,104,106
Random Random,4,4,3,5,5,5,4,4,5,3,4,4,2,4,,4,3,4,4,5,104,106,107
Random Random,4,3,4,5,3,5,2,4,5,4,5,4,6,4,,7,4,3,4,5,104,109,106
Random Random,4,4,6,7,3,6,2,3,5,6,7,4,6,1,,7,2,2,3,5,103,106,108
Random Random,4,4,7,6,6,5,1,4,5,2,7,6,7,2,,4,4,1,3,4,102,106,106
Random Random,4,4,5,5,4,4,1,5,5,3,4,5,7,3,,7,3,1,3,4,103,106,109
Random Random,4,2,5,7,4,5,1,3,7,1,6,5,7,3,1,7,4,3,1,4,102,105,106
Random Random,4,1,7,7,4,7,1,7,7,1,7,5,7,5,1,6,1,1,1,7,102,102,107
Random Random,4,,,7,7,7,1,6,6,4,,7,7,,1,7,1,1,7,7,104,108,106
Random Random,4,2,6,7,5,5,2,5,6,1,7,7,7,4,1,3,4,4,4,7,99,101,104
Random Random,4,2,7,4,7,4,4,5,4,4,1,1,7,5,1,7,4,4,4,7,107,110,110
Random Random,4,3,6,6,4,5,2,4,5,3,6,5,5,2,1,7,3,1,3,5,100,103,105
Random Random,4,3,6,7,4,3,4,5,5,1,6,5,6,3,1,3,2,2,6,6,105,108,109
Random Random,4,3,6,7,1,5,2,5,7,1,6,6,6,1,1,6,1,1,3,6,106,107,110
Random Random,4,5,5,5,2,7,1,5,6,2,3,3,4,2,2,7,4,1,3,5,103,103,107
Random Random,4,3,6,2,4,5,3,4,5,3,4,5,5,3,2,4,3,3,2,4,103,106,108
Random Random,4,5,5,5,5,6,3,6,4,,5,3,6,3,2,6,3,2,5,5,104,107,110
Random Random,4,4,5,6,3,5,2,5,6,3,5,4,6,3,2,5,3,4,3,5,101,100,101
Random Random,4,4,7,7,4,7,1,7,5,1,7,4,7,4,3,7,1,4,4,7,105,108,112
Random Random,4,4,5,5,4,7,1,4,5,3,5,5,6,1,3,6,3,1,3,4,110,109,112
Random Random,4,4,7,6,4,4,1,6,5,2,5,4,6,1,3,4,2,4,2,7,101,102,103
Random Random,4,3,7,6,2,5,1,5,7,2,5,5,6,2,3,7,2,2,3,7,108,112,111
Random Random,4,3,4,2,6,2,5,6,5,2,5,4,4,5,3,3,5,6,4,5,106,104,107
Random Random,4,4,4,5,4,4,4,6,4,2,4,5,4,4,3,4,4,4,4,4,103,105,110
Random Random,4,5,5,4,4,4,1,4,4,3,4,3,6,4,3,3,3,3,4,5,107,111,112
Random Random,4,3,7,6,4,4,1,5,6,2,6,3,6,3,3,4,1,4,3,7,104,106,109
Random Random,4,4,2,4,1,3,2,5,2,5,5,2,2,6,3,3,5,5,6,2,98,101,106
Random Random,4,4,5,4,5,5,1,5,4,5,2,1,7,3,3,3,4,3,5,3,102,106,108
Random Random,4,4,4,4,4,4,4,4,2,5,4,1,6,1,4,4,4,1,3,4,102,107,109
Random Random,4,4,5,5,4,4,3,6,4,6,5,4,6,4,4,4,4,4,4,5,106,105,110
Random Random,4,2,7,4,4,4,4,6,6,1,7,4,2,3,4,4,4,5,4,7,106,108,109
Random Random,4,3,3,4,3,1,1,4,,3,3,4,6,6,4,1,6,4,3,6,108,108,108
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,95,103,102
Random Random,4,3,6,5,4,5,3,4,5,3,,,5,3,4,4,4,3,3,4,104,108,110
Random Random,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,104,109,110
Random Random,4,4,4,4,3,4,4,4,3,5,3,3,4,4,4,4,4,4,4,3,94,97,100
Random Random,4,4,7,4,3,6,1,4,4,4,1,4,4,1,4,1,1,1,5,7,103,108,109
Random Random,4,5,4,4,4,4,4,4,4,2,7,4,7,4,4,5,4,4,4,5,111,113,117
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,101,104,109
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,104,106,111
Random Random,4,2,5,4,4,6,2,4,6,3,6,4,2,3,4,7,4,2,3,4,97,102,106
Random Random,4,2,7,6,2,7,1,5,6,1,7,6,6,1,4,7,1,2,4,4,104,107,112
Random Random,4,3,7,7,1,6,1,5,5,2,5,2,6,2,4,4,2,3,4,7,102,104,105
Random Random,4,3,6,6,4,7,2,5,6,2,5,5,6,3,4,7,2,2,4,6,101,104,104
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,103,107,107
Random Random,4,4,7,5,4,5,3,6,5,4,5,4,5,4,4,7,2,5,5,6,103,107,108
Random Random,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,98,99,103
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,105,107,109
Random Random,4,3,6,6,3,5,1,5,6,3,6,4,6,1,4,6,2,2,4,5,105,107,106
Random Random,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,104,110,110
Random Random,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,98,100,101
Random Random,4,3,5,7,3,6,2,4,6,2,5,3,6,1,5,7,2,4,3,5,98,102,104
